"filename", "language", "Haskell", "vcd", "YAML", "Graphviz (DOT)", "XML", "JSON", "VHDL", "Xilinx Design Constraints", "Python", "Verilog", "C++", "Cabal", "Markdown", "Shell Script", "comment", "blank", "total"
"d:\git\clash-moisc\Clash\ClashProject\vhdl\Lib.Mosic.topEntity\clash-manifest.json", "JSON", 0, 0, 0, 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 109
"d:\git\clash-moisc\Clash\ClashProject\vhdl\Lib.Mosic.topEntity\edam.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 15, 7, 82
"d:\git\clash-moisc\Clash\ClashProject\vhdl\Lib.Mosic.topEntity\topentity.sdc", "Xilinx Design Constraints", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 3
"d:\git\clash-moisc\Clash\ClashProject\vhdl\Lib.Mosic.topEntity\topentity.vhdl", "VHDL", 0, 0, 0, 0, 0, 0, 2355, 0, 0, 0, 0, 0, 0, 0, 62, 119, 2536
"d:\git\clash-moisc\Clash\ClashProject\vhdl\Lib.topEntityComparisonIoController\IoCtr.sdc", "Xilinx Design Constraints", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 3
"d:\git\clash-moisc\Clash\ClashProject\vhdl\Lib.topEntityComparisonIoController\IoCtr.vhdl", "VHDL", 0, 0, 0, 0, 0, 0, 165, 0, 0, 0, 0, 0, 0, 0, 12, 30, 207
"d:\git\clash-moisc\Clash\ClashProject\vhdl\Lib.topEntityComparisonIoController\IoCtr_types.vhdl", "VHDL", 0, 0, 0, 0, 0, 0, 174, 0, 0, 0, 0, 0, 0, 0, 0, 7, 181
"d:\git\clash-moisc\Clash\ClashProject\vhdl\Lib.topEntityComparisonIoController\clash-manifest.json", "JSON", 0, 0, 0, 0, 0, 133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 133
"d:\git\clash-moisc\Clash\ClashProject\vhdl\Lib.topEntityComparisonIoController\edam.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 15, 7, 77
"d:\git\clash-moisc\Clash\ClashProject\vhdl\Main.topEntity\Main_topEntity_types.vhdl", "VHDL", 0, 0, 0, 0, 0, 0, 142, 0, 0, 0, 0, 0, 0, 0, 0, 8, 150
"d:\git\clash-moisc\Clash\ClashProject\vhdl\Main.topEntity\clash-manifest.json", "JSON", 0, 0, 0, 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 108
"d:\git\clash-moisc\Clash\ClashProject\vhdl\Main.topEntity\topEntity.sdc", "Xilinx Design Constraints", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 3
"d:\git\clash-moisc\Clash\ClashProject\vhdl\Main.topEntity\topEntity.vhdl", "VHDL", 0, 0, 0, 0, 0, 0, 316, 0, 0, 0, 0, 0, 0, 0, 11, 16, 343
"Total", "-", 2470, 80, 81, 147, 482, 1575, 9761, 10, 550, 299, 26, 107, 253, 8, 1365, 1504, 18718
